"motif"	"motif length"	"p_value"
"1"	"Ddit3Cebpa"	12	0
"2"	"Foxd3"	12	0
"3"	"PPARG"	20	0
"4"	"SRY"	9	0
"5"	"HLTF"	10	0
"6"	"Spz1"	11	0
"7"	"NR1H2RXRA"	17	0
"8"	"NFICTLX1"	14	0
"9"	"EWSR1FLI1"	18	0
"10"	"REST"	21	0
"11"	"PLAG1"	14	0
"12"	"Bcl6"	14	0
"13"	"CDX2"	11	0
"14"	"Klf1"	11	0
"15"	"Nr1h3Rxra"	19	0
"16"	"MEF2C"	15	0
"17"	"Myog"	11	0
"18"	"NR2C2"	15	0
"19"	"Nr5a2"	15	0
"20"	"Stat4"	14	0
"21"	"Stat5aStat5b"	11	0
"22"	"Tcf12"	11	0
"23"	"TCF7L2"	14	0
"24"	"USF2"	11	0
"25"	"GATA1TAL1"	18	0
"26"	"Atf3"	8	0
"27"	"FOXG1"	8	0
"28"	"Foxj2"	8	0
"29"	"Id2"	8	0
"30"	"Mlxip"	8	0
"31"	"Rhox11"	17	0
"32"	"BHLHE41"	10	0
"33"	"FOXO3"	8	0
"34"	"HSF1"	13	0
"35"	"ISX"	8	0
"36"	"MEF2B"	12	0
"37"	"MSX1"	8	0
"38"	"NEUROG2"	10	0
"39"	"NKX61"	8	0
"40"	"Nr2f6"	14	0
"41"	"Pitx1"	8	0
"42"	"Rxra"	14	0
"43"	"SRF"	16	0
"44"	"ZBTB18"	13	0
"45"	"LHX9"	8	0
"46"	"Msx3"	8	0
"47"	"NKX32"	9	0
"48"	"NOTO"	10	0
"49"	"Nkx31"	9	0
"50"	"OTX2"	8	0
"51"	"RAX2"	8	0
"52"	"RAX"	10	0
"53"	"RHOXF1"	8	0
"54"	"Shox2"	8	0
"55"	"VENTX"	9	0
"56"	"Nr2f6var2"	15	0
"57"	"GLI2"	12	0
"58"	"HIC2"	9	0
"59"	"Hic1"	9	0
"60"	"SCRT1"	15	0
"61"	"SCRT2"	13	0
"62"	"ZNF740"	10	0
"63"	"LEF1"	15	0
"64"	"Tcf7"	12	0
"65"	"HSF2"	13	0
"66"	"HSF4"	13	0
"67"	"MEF2A"	12	0
"68"	"MEF2D"	12	0
"69"	"MEIS2"	8	0
"70"	"PKNOX2"	12	0
"71"	"POU2F1"	12	0
"72"	"POU6F2"	10	0
"73"	"TGIF1"	12	0
"74"	"TGIF2"	12	0
"75"	"RUNX2"	9	0
"76"	"TFAP2Avar2"	12	0
"77"	"TFAP2A"	11	0
"78"	"TFAP2B"	12	0
"79"	"TFAP2Bvar2"	11	0
"80"	"TFAP2C"	12	0
"81"	"TFAP2Cvar2"	11	0
"82"	"TCF3"	10	0
"83"	"CREB3L1"	14	0
"84"	"Foxj3"	17	0
"85"	"Foxk1"	17	0
"86"	"RXRB"	14	0
"87"	"RXRG"	14	0
"88"	"Rarb"	16	0
"89"	"Rarg"	16	0
"90"	"Sox1"	15	0
"91"	"BARX1"	8	0
"92"	"Barhl1"	10	0
"93"	"CDX1"	9	0
"94"	"HMBOX1"	10	0
"95"	"Hoxd9"	10	0
"96"	"KLF5"	10	2.13033503682278e-07
"97"	"CTCF"	19	2.67643551433693e-07
"98"	"FOSJUN"	7	1.34327119146359e-06
"99"	"IRF1"	21	6.4877108208193e-06
"100"	"JUNvar2"	14	5.96687224099417e-05
"101"	"BATFJUN"	11	0.000376721760704829
"102"	"Pou2f3"	16	0.000376721760704829
"103"	"PDX1"	8	0.000376721760704829
"104"	"VAX2"	8	0.000376721760704829
"105"	"POU4F1"	14	0.000376721760704829
"106"	"NFATC2"	7	0.000975142827944973
"107"	"Arid3a"	6	0.00109967674458586
"108"	"AhrArnt"	6	0.00183295394603713
"109"	"FOXD1"	8	0.00392542653227373
"110"	"SP4"	17	0.00392542653227373
"111"	"POU3F2"	12	0.00392542653227373
