"motif"	"motif length"	"p_value"
"1"	"Foxd3"	12	0
"2"	"MZF1var2"	10	0
"3"	"PBX1"	12	0
"4"	"SRY"	9	0
"5"	"REL"	10	0
"6"	"Spz1"	11	0
"7"	"Znf423"	15	0
"8"	"NFICTLX1"	14	0
"9"	"EWSR1FLI1"	18	0
"10"	"REST"	21	0
"11"	"PLAG1"	14	0
"12"	"Bcl6"	14	0
"13"	"Crx"	11	0
"14"	"Gfi1b"	11	0
"15"	"HNF4G"	15	0
"16"	"JUNDvar2"	15	0
"17"	"Klf1"	11	0
"18"	"MEF2C"	15	0
"19"	"Myog"	11	0
"20"	"Nr5a2"	15	0
"21"	"POU2F2"	13	0
"22"	"SMAD2SMAD3SMAD4"	13	0
"23"	"Stat4"	14	0
"24"	"Tcf12"	11	0
"25"	"TCF7L2"	14	0
"26"	"USF2"	11	0
"27"	"ZBTB33"	15	0
"28"	"CEBPA"	11	0
"29"	"ESR2"	15	0
"30"	"GATA1TAL1"	18	0
"31"	"FOXP2"	11	0
"32"	"Arntl"	10	0
"33"	"Atf1"	8	0
"34"	"Atf3"	8	0
"35"	"FOXG1"	8	0
"36"	"Foxj2"	8	0
"37"	"Id2"	8	0
"38"	"Mlxip"	8	0
"39"	"ALX3"	10	0
"40"	"Ar"	17	0
"41"	"Esrrg"	10	0
"42"	"FOXO3"	8	0
"43"	"GSC"	10	0
"44"	"ISX"	8	0
"45"	"MSX1"	8	0
"46"	"NKX28"	9	0
"47"	"NKX61"	8	0
"48"	"Pitx1"	8	0
"49"	"Rxra"	14	0
"50"	"T"	16	0
"51"	"TEAD1"	10	0
"52"	"ZBTB18"	13	0
"53"	"LHX9"	8	0
"54"	"Msx3"	8	0
"55"	"OTX2"	8	0
"56"	"PITX3"	9	0
"57"	"RAX2"	8	0
"58"	"RHOXF1"	8	0
"59"	"Shox2"	8	0
"60"	"Esrra"	11	0
"61"	"Hnf4a"	16	0
"62"	"NR3C1"	17	0
"63"	"NR3C2"	17	0
"64"	"BCL6B"	17	0
"65"	"SP3"	11	0
"66"	"ZNF143"	16	0
"67"	"ZNF410"	17	0
"68"	"ZNF740"	10	0
"69"	"E2F7"	14	0
"70"	"LEF1"	15	0
"71"	"HSF4"	13	0
"72"	"MEIS2"	8	0
"73"	"PKNOX2"	12	0
"74"	"TGIF1"	12	0
"75"	"TGIF2"	12	0
"76"	"TEAD4"	10	0
"77"	"BATF3"	14	0
"78"	"FOXC2"	12	0
"79"	"Foxj3"	17	0
"80"	"Foxk1"	17	0
"81"	"RXRB"	14	0
"82"	"RXRG"	14	0
"83"	"Rarbvar2"	17	0
"84"	"TP63"	18	0
"85"	"SOX4"	16	0
"86"	"BARX1"	8	0
"87"	"CDX1"	9	0
"88"	"GSC2"	10	0
"89"	"GSX1"	10	0
"90"	"Hmx1"	17	0
"91"	"Hoxd9"	10	0
"92"	"KLF5"	10	2.47982884248161e-08
"93"	"CTCF"	19	4.92740184162375e-08
"94"	"FOSJUN"	7	7.70936649273866e-07
"95"	"SP2"	15	2.18909087076906e-06
"96"	"AhrArnt"	6	5.00008078916062e-05
"97"	"IRF1"	21	0.000110154369513365
"98"	"JUNvar2"	14	0.000174896834210145
"99"	"STAT1STAT2"	15	0.000186935361426847
"100"	"POU4F1"	14	0.000186935361426847
"101"	"GATA3"	8	0.00106270297808743
"102"	"GATA5"	8	0.00106270297808743
"103"	"BATFJUN"	11	0.00151122945490724
"104"	"Pou2f3"	16	0.00151122945490724
"105"	"PDX1"	8	0.00151122945490724
"106"	"VAX2"	8	0.00151122945490724
"107"	"IRF2"	18	0.00179973399258376
"108"	"POU3F2"	12	0.00179973399258376
"109"	"Arid3a"	6	0.00198513532586727
"110"	"SP1"	11	0.0028591180628033
"111"	"PRDM1"	15	0.00796573048206322
"112"	"VAX1"	8	0.00796573048206322
"113"	"Bhlha15"	8	0.0101661872450375
"114"	"NFATC2"	7	0.0102402253659816
"115"	"Zfx"	14	0.012642429067274
"116"	"Dux"	8	0.012642429067274
"117"	"SP4"	17	0.012642429067274
"118"	"SPI1"	14	0.012642429067274
"119"	"RFX2"	16	0.012642429067274
"120"	"RFX3"	16	0.012642429067274
"121"	"RFX5"	16	0.012642429067274
"122"	"Dlx4"	8	0.012642429067274
"123"	"DLX6"	8	0.012642429067274
"124"	"Gabpa"	11	0.01772873080433
"125"	"Foxa2"	12	0.01772873080433
"126"	"FOSL2"	11	0.01772873080433
"127"	"Gata4"	11	0.01772873080433
"128"	"JUNB"	11	0.01772873080433
"129"	"ELK4"	11	0.01772873080433
"130"	"NFYA"	18	0.01772873080433
"131"	"YY1"	12	0.01772873080433
"132"	"THAP1"	9	0.01772873080433
"133"	"Mitf"	10	0.01772873080433
"134"	"IRF8"	14	0.01772873080433
"135"	"JDP2"	9	0.01772873080433
"136"	"IRF7"	14	0.01772873080433
"137"	"POU1F1"	14	0.01772873080433
"138"	"POU3F1"	12	0.01772873080433
"139"	"POU4F3"	16	0.01772873080433
"140"	"Ascl2"	10	0.01772873080433
"141"	"TFE3"	10	0.01772873080433
"142"	"MAFGNFE2L1"	6	0.0507682269263719
"143"	"Rfx1"	14	0.0556721367279843
"144"	"EN1"	8	0.0556721367279843
"145"	"PAX4"	8	0.0556721367279843
"146"	"LMX1A"	8	0.0556721367279843
"147"	"LMX1B"	8	0.0556721367279843
"148"	"Lhx4"	8	0.0556721367279843
"149"	"Lhx8"	8	0.0556721367279843
"150"	"VSX2"	8	0.0556721367279843
"151"	"Arnt"	6	0.0611465546238295
"152"	"Sox5"	7	0.0959285102431119
"153"	"MEIS3"	8	0.0964641997535741
"154"	"USF1"	11	0.100948375531217
"155"	"SNAI2"	9	0.100948375531217
"156"	"RFX4"	16	0.100948375531217
"157"	"SOX8"	16	0.100948375531217
"158"	"Hoxd8"	17	0.100948375531217
"159"	"SPIB"	7	0.128433018369223
"160"	"NFIC"	6	0.133608961074101
"161"	"Nkx25"	7	0.140540267531357
"162"	"Mecom"	14	0.184264863179262
"163"	"Foxq1"	11	0.184264863179262
"164"	"SOX9"	9	0.184264863179262
"165"	"Sox17"	9	0.184264863179262
"166"	"Hand1Tcf3"	10	0.184264863179262
"167"	"RUNX1"	11	0.184264863179262
"168"	"RARARXRA"	17	0.184264863179262
"169"	"ARNTHIF1A"	8	0.184264863179262
"170"	"FOS"	11	0.184264863179262
"171"	"JUND"	11	0.184264863179262
"172"	"MAFK"	15	0.184264863179262
"173"	"NFYB"	15	0.184264863179262
"174"	"GATA2"	14	0.184264863179262
"175"	"Myb"	10	0.184264863179262
"176"	"PAX5"	19	0.184264863179262
"177"	"STAT3"	11	0.184264863179262
"178"	"Arid3b"	11	0.184264863179262
"179"	"Arid5a"	14	0.184264863179262
"180"	"Twist2"	10	0.184264863179262
"181"	"EBF1"	14	0.184264863179262
"182"	"EHF"	12	0.184264863179262
"183"	"ELF3"	13	0.184264863179262
"184"	"ETV6"	10	0.184264863179262
"185"	"HNF1A"	15	0.184264863179262
"186"	"HNF1B"	13	0.184264863179262
"187"	"IRF9"	15	0.184264863179262
"188"	"MSC"	10	0.184264863179262
"189"	"MYF6"	10	0.184264863179262
"190"	"POU4F2"	16	0.184264863179262
"191"	"TBX2"	11	0.184264863179262
"192"	"TBX21"	10	0.184264863179262
"193"	"TFAP4"	10	0.184264863179262
"194"	"TFCP2"	10	0.184264863179262
"195"	"TFEB"	10	0.184264863179262
"196"	"ZIC1"	14	0.184264863179262
"197"	"NR2F1"	13	0.184264863179262
"198"	"RARAvar2"	17	0.184264863179262
"199"	"Klf12"	15	0.184264863179262
"200"	"ZIC4"	15	0.184264863179262
"201"	"ONECUT3"	14	0.184264863179262
"202"	"ELK3"	10	0.184264863179262
"203"	"ETV1"	10	0.184264863179262
"204"	"ETV4"	10	0.184264863179262
"205"	"POU3F3"	13	0.184264863179262
"206"	"EOMES"	13	0.184264863179262
"207"	"TBR1"	10	0.184264863179262
"208"	"Atoh1"	10	0.184264863179262
"209"	"BHLHE40"	10	0.184264863179262
"210"	"BHLHE23"	12	0.184264863179262
"211"	"SREBF2var2"	10	0.184264863179262
"212"	"Srebf1var2"	10	0.184264863179262
"213"	"Tcf21"	14	0.184264863179262
"214"	"Rargvar2"	17	0.184264863179262
"215"	"GMEB2"	8	0.184264863179262
"216"	"E2F8"	12	0.184264863179262
"217"	"Sox11"	15	0.184264863179262
"218"	"TFEC"	10	0.184264863179262
"219"	"Dlx1"	10	0.184264863179262
"220"	"HOXB13"	10	0.184264863179262
"221"	"HOXA5"	8	0.186414597169213
"222"	"ZEB1"	9	0.304988096475471
"223"	"FOXD1"	8	0.340679817546263
"224"	"EGR1"	14	0.340679817546263
"225"	"ISL2"	8	0.340679817546263
"226"	"MAFNFE2"	15	0.345870491159753
"227"	"Stat6"	15	0.345870491159753
