chromatin	start	end	width	strand	name	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr20	90813	90865	53	*	chr20.1	11.0240755	Distal Intergenic	20	68351	77296	8946	1	245938	uc002wcw.3	22462	ENSG00000178591	DEFB125	defensin beta 125
chr20	91050	91102	53	*	chr20.2	11.0240755	Distal Intergenic	20	68351	77296	8946	1	245938	uc002wcw.3	22699	ENSG00000178591	DEFB125	defensin beta 125
chr20	179322	179564	243	*	chr20.3	18.160053	Distal Intergenic	20	168527	170264	1738	2	245939	uc002wcz.1	-9058	ENSG00000185982	DEFB128	defensin beta 128
chr20	189627	189860	234	*	chr20.4	21.183008	Distal Intergenic	20	207899	210527	2629	1	140881	uc002wda.3	-18039	ENSG00000125903	DEFB129	defensin beta 129
chr20	193882	194128	247	*	chr20.5	16.972158	Distal Intergenic	20	207899	210527	2629	1	140881	uc002wda.3	-13771	ENSG00000125903	DEFB129	defensin beta 129
chr20	218673	218914	242	*	chr20.6	19.809086	Distal Intergenic	20	207899	210527	2629	1	140881	uc002wda.3	10774	ENSG00000125903	DEFB129	defensin beta 129
chr20	247603	248005	403	*	chr20.7	58.146927	Distal Intergenic	20	238377	241736	3360	1	400830	uc002wdb.3	9226	ENSG00000186458	DEFB132	defensin beta 132
chr20	258563	258796	234	*	chr20.8	21.020529	Intron (uc002wde.2/140680, intron 6 of 10)	20	256609	271079	14471	2	140680	uc010zpj.1	12283	ENSG00000196476	C20orf96	chromosome 20 open reading frame 96
chr20	270771	271520	750	*	chr20.9	112.25189	Promoter	20	251504	271419	19916	2	140680	uc002wde.2	0	ENSG00000196476	C20orf96	chromosome 20 open reading frame 96
chr20	272186	272423	238	*	chr20.10	20.458847	Promoter	20	256609	271419	14811	2	140680	uc010zpk.2	-767	ENSG00000196476	C20orf96	chromosome 20 open reading frame 96
chr20	272627	272868	242	*	chr20.11	18.841784	Distal Intergenic	20	256609	271419	14811	2	140680	uc010zpk.2	-1208	ENSG00000196476	C20orf96	chromosome 20 open reading frame 96
chr20	277831	278372	542	*	chr20.12	117.16686	Promoter	20	278204	280963	2760	1	85364	uc002wdf.3	0	ENSG00000247315	ZCCHC3	zinc finger CCHC-type containing 3
chr20	278962	279510	549	*	chr20.13	20.266045	Promoter	20	278204	280963	2760	1	85364	uc002wdf.3	758	ENSG00000247315	ZCCHC3	zinc finger CCHC-type containing 3
chr20	291023	291473	451	*	chr20.14	61.496487	Distal Intergenic	20	278204	280963	2760	1	85364	uc002wdf.3	12819	ENSG00000247315	ZCCHC3	zinc finger CCHC-type containing 3
chr20	304663	305477	815	*	chr20.15	65.40902	Promoter	20	306215	310872	4658	1	6666	uc002wdh.4	-738	ENSG00000177732	SOX12	SRY-box 12
chr20	305612	306916	1305	*	chr20.16	153.01811	Promoter	20	306215	310872	4658	1	6666	uc002wdh.4	0	ENSG00000177732	SOX12	SRY-box 12
